,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
0,A02_006T01_9000000776, 3:33:36.372, -36:8:25.440,[GAP2005] NGC 1365 M1,IR,Infra-Red source
1,A02_006T01_9000000802, 3:33:36.372, -36:8:25.440,[GAP2005] NGC 1365 M1,IR,Infra-Red source
2,A02_006T01_9000000934, 3:33:36.372, -36:8:25.440,[GAP2005] NGC 1365 M1,IR,Infra-Red source
3,A02_024T01_9000001044, 12:25:46.747, 12:39:43.524,[LB2005] NGC  4388 X1,X,X-ray source
4,A02_027T01_9000001084, 16:57:49.810, 35:20:32.399,V* HZ Her,LMXB,Low Mass X-ray Binary
5,A02_028T01_9000000724, 0:42:50.57, 41:15:00.82,,No identification within 1 arcsec,
6,A02_028T03_9000000788, 0:44:08.88, 41:33:26.45,,No identification within 1 arcsec,
7,A02_031T01_9000001014, 13:16:27.09, +17:42:00.9,NGC  5053,GlCl,Globular Cluster
8,A02_046T01_9000000814, 08:18:09.7, +70:41:51.5,,No identification within 1 arcsec,
9,A02_046T01_9000000864, 08:18:09.7, +70:41:51.5,,No identification within 1 arcsec,
10,A02_058T02_9000001030, 12:19:30.582, 14:52:39.780,NGC  4262,GinGroup,Galaxy in Group of Galaxies
11,A02_058T03_9000000856, 4:9:51.852, -56:7:6.390,NGC  1533,GinGroup,Galaxy in Group of Galaxies
12,A02_070T01_9000000832, 23:4:43.49, -8:41:8.52,Mrk  926,Seyfert_1,Seyfert 1 Galaxy
13,A02_073T02_9000000982, 11:43:13.09, +20:00:17.36,2MFGC 9193,GinCl,Galaxy in Cluster of Galaxies
14,A02_075T01_9000000906, 8:14:40.116, 49:3:42.156,NGC  2541,GinGroup,Galaxy in Group of Galaxies
15,A02_075T02_9000000940, 10:39:9.458, 41:41:12.048,[TSK2008] 287,GroupG,Group of Galaxies
16,A02_075T05_9000000920, 8:26:4.387, 45:58:3.504,UGC  4393,EmG,Emission-line galaxy
17,A02_077T01_9000000732, 18:01:12.40, -25:44:36.10,2XMM J180112.4-254436,LMXB,Low Mass X-ray Binary
18,A02_082T01_9000000898, 05:06:49.91, -21:35:09.23,BD-21  1074A,Eruptive*,Eruptive variable Star
19,A02_085T02_9000000808, 7:10:30.078, 59:8:20.500,6C 070609+591309,BLLac,BL Lac - type object
20,A02_086T01_9000000714, 17:43:54.830, -29:44:42.601,NAME Great Annihilator,LMXB,Low Mass X-ray Binary
21,A02_090T01_9000000778, 5:34:31.940, 22:0:52.200,V* CM Tau,Pulsar,Pulsar
22,A02_090T01_9000000970, 5:34:31.940, 22:0:52.200,V* CM Tau,Pulsar,Pulsar
23,A02_090T02_9000000956, 12:13:55.2, 22:48:0.0,,No identification within 1 arcsec,
24,A02_103T01_9000000904, 10:23:30.570, 19:51:54.299,NGC  3227,GinPair,Galaxy in Pair of Galaxies
25,A02_103T01_9000000950, 10:23:30.570, 19:51:54.299,NGC  3227,GinPair,Galaxy in Pair of Galaxies
26,A02_114T01_9000000764, 2:10:46.200, -51:1:1.884,QSO B0208-512,BLLac,BL Lac - type object
27,A02_124T01_9000000842, 03:35:36, -54:03:00,,No identification within 1 arcsec,
28,A02_132T01_9000001068, 17:28:20, -14:15:52,,No identification within 1 arcsec,
29,A02_132T01_9000001072, 17:28:20, -14:15:52,,No identification within 1 arcsec,
30,A02_132T01_9000001212, 17:28:20, -14:15:52,,No identification within 1 arcsec,
31,A02_149T01_9000000740, 22:53:57.748, 16:8:53.561,3C 454.3,Blazar,Blazar
32,A02_150T01_9000000738, 23:08:26.63, -15:36:41.4,NGC  7492,GlCl,Globular Cluster
33,A02_150T03_9000001018, 12:39:27.98, -26:44:38.6,M  68,GlCl,Globular Cluster
34,A02_150T04_9000001022, 14:05:27.29, 28:32:04.0,NGC  5466,GlCl,Globular Cluster
35,A02_151T01_9000000818, 2:34:22.567, -43:47:46.877,V* CC Eri,BYDra,Variable of BY Dra type
36,A02_152T01_9000000806, 5:23:50.31, -24:22:2.80,,No identification within 1 arcsec,
37,A02_155T01_9000000966, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
38,A02_155T01_9000000994, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
39,A02_155T01_9000001062, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
40,A02_165T03_9000001032, 12:28:15.235, 44:27:11.304,Mrk  212,GinPair,Galaxy in Pair of Galaxies
41,A02_165T03_9000001098, 12:28:15.235, 44:27:11.304,Mrk  212,GinPair,Galaxy in Pair of Galaxies
42,A02_165T04_9000000712, 22:31:51.247, 19:41:28.968,,No identification within 1 arcsec,
43,A02_165T06_9000000952, 10:23:32.616, 10:57:34.992,NGC  3217,RadioG,Radio Galaxy
44,A02_170T02_9000000892, 00:51:00, +58:11:00,,No identification within 1 arcsec,
45,A02_170T03_9000000910, 04:38:06, +50:45:00,,No identification within 1 arcsec,
46,A02_173T01_9000000840, 01:23:19.51, +57:38:54.96,,No identification within 1 arcsec,
47,A02_173T03_9000000828, 02:21:59.15, +70:55:53,EM* MWC  709,Em*,Emission-line Star
48,A02_174T01_9000000766, 22:42:39.309, +29:43:31.55,UGC 12163,Seyfert_1,Seyfert 1 Galaxy
49,A02_174T04_9000000938, 12:18:26.484, +29:48:46.15,NGC  4253,Seyfert_1,Seyfert 1 Galaxy
50,A02_178T01_9000001006, 13:49:19.267, -30:18:33.984,ESO 445-50,Seyfert_1,Seyfert 1 Galaxy
51,A02_178T01_9000001048, 13:49:19.267, -30:18:33.984,ESO 445-50,Seyfert_1,Seyfert 1 Galaxy
52,A02_178T01_9000001118, 13:49:19.267, -30:18:33.984,ESO 445-50,Seyfert_1,Seyfert 1 Galaxy
53,A02_178T01_9000001286, 13:49:19.267, -30:18:33.984,ESO 445-50,Seyfert_1,Seyfert 1 Galaxy
54,A02_178T01_9000001340, 13:49:19.267, -30:18:33.984,ESO 445-50,Seyfert_1,Seyfert 1 Galaxy
55,A02_191T01_9000000854, 14:12:53.92, 54:00:14.40,2MASS J14125397+5400143,Seyfert_1,Seyfert 1 Galaxy
56,A02_191T02_9000000852, 14:17:21.79, 53:41:2.61,2MASS J14172175+5341032,Seyfert_1,Seyfert 1 Galaxy
57,A02_197T01_9000000748, 00:40:02.57, +41:11:53.59,Bol   2,GlCl,Globular Cluster
58,A02_197T02_9000000752, 00:40:09.40, +41:11:05.21,Bol   3,GlCl,Globular Cluster
59,A02_197T05_9000000756, 00:41:17.84, +41:00:23.04,Bol  29,GlCl,Globular Cluster
60,A02_199T01_9000000708, 19:59:59.852, 65:8:54.653,QSO B1959+650,BLLac,BL Lac - type object
61,A02_199T01_9000000800, 19:59:59.852, 65:8:54.653,QSO B1959+650,BLLac,BL Lac - type object
62,A03_005T01_9000001348, 16:57:49.810, 35:20:32.399,V* HZ Her,LMXB,Low Mass X-ray Binary
63,A03_008T01_9000001442, 19:20:52.992, 37:46:18.120,,No identification within 1 arcsec,
64,A03_008T02_9000001422, 23:57:24.000, 56:42:29.880,Gaia EDR3 1995013722047904896,Star,Star
65,A03_025T07_9000001182, 12:41:52.721, 41:16:26.256,NGC  4625,GinPair,Galaxy in Pair of Galaxies
66,A03_025T08_9000001248, 14:6:40.538, 22:4:12.360,UGC  9024,LSB_G,Low Surface Brightness Galaxy
67,A03_030T01_9000001194, 12:29:46.78, +08:00:01.48,M  49,Seyfert_2,Seyfert 2 Galaxy
68,A03_033T01_9000001276, 23:47:04.83, +51:42:17.88,QSO B2344+514,BLLac,BL Lac - type object
69,A03_033T01_9000001368, 23:47:04.83, +51:42:17.88,QSO B2344+514,BLLac,BL Lac - type object
70,A03_033T01_9000001438, 23:47:04.83, +51:42:17.88,QSO B2344+514,BLLac,BL Lac - type object
71,A03_033T01_9000001524, 23:47:04.83, +51:42:17.88,QSO B2344+514,BLLac,BL Lac - type object
72,A03_036T01_9000001128, 9:25:12.871, 52:17:10.495,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
73,A03_036T01_9000001164, 9:25:12.871, 52:17:10.495,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
74,A03_036T01_9000001204, 9:25:12.871, 52:17:10.495,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
75,A03_036T01_9000001230, 9:25:12.871, 52:17:10.495,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
76,A03_038T01_9000001218, 13:31:46.61, 29:16:36.61,V* DG CVn,Eruptive*,Eruptive variable Star
77,A03_044T03_9000001446, 00:37:02.56, +39:58:20.5,,No identification within 1 arcsec,
78,A03_044T04_9000001448, 00:39:51.64, +40:21:11.3,,No identification within 1 arcsec,
79,A03_046T01_9000001260, 14:29:42.94, -62:40:46.16,NAME Proxima Centauri b,Planet,Extra-solar Confirmed Planet
80,A03_051T01_9000001120, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
81,A03_051T01_9000001242, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
82,A03_051T01_9000001288, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
83,A03_051T01_9000001346, 13:35:53.707, -34:17:43.944,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
84,A03_052T01_9000001208, 17:28:20, -14:15:52,,No identification within 1 arcsec,
85,A03_052T01_9000001436, 17:28:20, -14:15:52,,No identification within 1 arcsec,
86,A03_052T01_9000001480, 17:28:20, -14:15:52,,No identification within 1 arcsec,
87,A03_053T01_9000001410, 18:1:12.400, -25:44:36.100,2XMM J180112.4-254436,LMXB,Low Mass X-ray Binary
88,A03_053T01_9000001542, 18:1:12.400, -25:44:36.100,2XMM J180112.4-254436,LMXB,Low Mass X-ray Binary
89,A03_062T01_9000001176, 12:10:06.30, 18:32:33.5,,No identification within 1 arcsec,
90,A03_062T04_9000001298, 13:16:27.09, 17:42:00.9,NGC  5053,GlCl,Globular Cluster
91,A03_064T01_9000001548, 02:55:56.8219, +20:07:14.0973,,No identification within 1 arcsec,
92,A03_065T01_9000001238, 13:42:11.227, 28:22:31.620,Cl* NGC 5272    DSZ      20,BlueStraggler,Blue Straggler Star
93,A03_069T02_9000001324, 15:06:29.5, +55:45:48,M 102,Seyfert,Seyfert Galaxy
94,A03_069T03_9000001478, 03:36:46.2, -35:59:58,[LB2005] NGC  1386 X1,X,X-ray source
95,A03_071T01_9000001562, 3:19:48.161, 41:30:42.120,3C  84,Seyfert_2,Seyfert 2 Galaxy
96,A03_074T01_9000001192, 16:5:45.873, 25:51:45.170,V* UW CrB,LMXB,Low Mass X-ray Binary
97,A03_077T01_9000001372, 16:56:16.85, -33:2:11.08,,No identification within 1 arcsec,
98,A03_078T01_9000001546, 2:32:48.615, 20:17:17.484,QSO B0229+200,BLLac,BL Lac - type object
99,A03_079T02_9000001458, 01:46:09, +61:14:06,,No identification within 1 arcsec,
100,A03_085T02_9000001784, 3:25:40.001, -8:14:42.000,,No identification within 1 arcsec,
101,A03_086T01_9000001568, 5:34:31.940, 22:0:52.200,V* CM Tau,Pulsar,Pulsar
102,A03_091T01_9000001296, 14:36:48.084, 18:20:37.210,IC 4466,EmG,Emission-line galaxy
103,A03_091T02_9000001292, 13:34:40.770, -23:26:45.200,,No identification within 1 arcsec,
